id,age,height,eye_colour,hair_colour,gender,plate_number,car_make,car_model
SFL36856,40,178,Brown,Black,Male,MH12 J 9876,Honda,City
SFL67890,33,175,Black,Black,Male,DL3C A 1234,Maruti,Swift
SFL11223,47,180,Brown,Salt & Pepper,Male,UP14 B 5678,Hyundai,Creta
SFL44556,25,172,Hazel,Brown,Male,TN07 C 9012,Ford,EcoSport
SFL77889,36,182,Brown,Black,Male,KA19 D 3456,Toyota,Innova
SFL99001,30,170,Green,Blonde,Male,WB02 E 7890,Volkswagen,Polo
SFL22334,43,179,Blue,Brown,Male,GJ01 F 1122,Tata,Nexon
SFL55667,27,176,Brown,Black,Male,RJ14 G 3344,Mahindra,XUV500
SFL88990,50,168,Black,Grey,Male,PB10 H 5566,Kia,Seltos
SFL11234,22,181,Brown,Black,Male,HR26 I 7788,Renault,Duster
SFL56789,37,165,Brown,Black,Female,CH01 J 9900,Skoda,Rapid
SFL01234,31,163,Black,Black,Female,AP28 K 1111,Nissan,Magnite
SFL56780,44,168,Brown,Brown,Female,TS09 L 2222,MG,Hector
SFL12309,23,160,Hazel,Red,Female,KL18 M 3333,Jeep,Compass
SFL87654,34,170,Brown,Black,Female,PY01 N 4444,Fiat,Punto
SFL98321,20,164,Brown,Black,Female,DL01 T 9999,Tata,Tiago
SFL32109,28,166,Green,Blonde,Female,AS01 P 5555,Datsun,Go
SFL87650,41,162,Blue,Brown,Female,GA08 Q 6666,Honda,Amaze
SFL43215,25,169,Brown,Black,Female,MN01 R 7777,Maruti,Baleno
SFL98765,48,158,Black,Grey,Female,MZ01 S 8888,Hyundai,i20
SFL10987,20,164,Brown,Black,Female,NL01 T 9999,Tata,Tiago
SFL65432,39,177,Brown,Black,Male,TR01 U 1010,Mahindra,Thar
SFL10988,32,174,Black,Black,Male,ML05 V 2020,Toyota,Fortuner
SFL76543,45,181,Brown,Salt & Pepper,Male,AR01 W 3030,Ford,Endeavour
SFL21098,24,173,Hazel,Brown,Male,SK01 X 4040,Volkswagen,Vento
SFL87651,35,183,Brown,Black,Male,JH01 Y 5050,Kia,Sonet
SFL32106,29,171,Green,Blonde,Male,OD02 Z 6060,Renault,Kiger
SFL87652,42,180,Blue,Brown,Male,CG04 A 7070,Skoda,Octavia
SFL43217,26,178,Brown,Black,Male,UK07 B 8080,Nissan,Kicks
SFL98763,49,169,Black,Grey,Male,HP17 C 9090,MG,Gloster
SFL10985,21,182,Brown,Black,Male,LA01 D 1212,Jeep,Wrangler
SFL65430,36,166,Brown,Black,Female,DN09 E 2323,Hyundai,Venue
SFL10986,30,164,Black,Black,Female,DD03 F 3434,Tata,Harrier
SFL76541,42,169,Brown,Brown,Female,AN01 G 4545,Mahindra,Scorpio
SFL21096,22,161,Hazel,Red,Female,LD01 H 5656,Toyota,Glanza
SFL87653,33,171,Brown,Black,Female,MP04 I 6767,Ford,Freestyle
SFL32104,27,167,Green,Blonde,Female,BR01 J 7878,Volkswagen,Tiguan
SFL87654,40,163,Blue,Brown,Female,OR02 K 8989,Kia,Carnival
SFL43219,24,170,Brown,Black,Female,BH01 L 9090,Renault,Triber
SFL98761,47,159,Black,Grey,Female,KA19 M 1011,Skoda,Kushaq
SFL10983,19,165,Brown,Black,Female,MH02 N 2021,Nissan,Juke
SFL11122,38,179,Brown,Black,Male,DL04 P 3031,MG,Astor
SFL33445,31,176,Black,Black,Male,UP16 Q 4041,Jeep,Meridian
SFL66778,44,182,Brown,Salt & Pepper,Male,TN09 R 5051,Maruti,Ciaz
SFL99001,23,174,Hazel,Brown,Male,WB04 S 6061,Hyundai,Verna
SFL22334,34,184,Brown,Black,Male,GJ06 T 7071,Honda,Civic
SFL55667,28,172,Green,Blonde,Male,RJ18 U 8081,Toyota,Camry
SFL88990,41,181,Blue,Brown,Male,PB12 V 9091,Skoda,Superb
SFL11235,26,179,Brown,Black,Male,HR29 W 1012,Volkswagen,Passat
SFL44568,48,170,Black,Grey,Male,CH03 X 2022,Tata,Safari
SFL77891,20,183,Brown,Black,Male,AP30 Y 3032,Mahindra,Alturas G4
SFL11123,35,167,Brown,Black,Female,TS11 Z 4042,Ford,Mustang
SFL33446,29,165,Black,Black,Female,KL20 A 5052,Audi,A4
SFL66779,42,170,Brown,Brown,Female,PY02 B 6062,BMW,3 Series
SFL99002,21,162,Hazel,Red,Female,AS03 C 7072,Mercedes-Benz,C-Class
SFL22335,32,172,Brown,Black,Female,GA09 D 8082,Jaguar,XE
SFL55668,26,168,Green,Blonde,Female,MN02 E 9092,Volvo,S60
SFL88991,39,164,Blue,Brown,Female,MZ02 F 1013,Lexus,ES
SFL11236,24,171,Brown,Black,Female,NL02 G 2023,Audi,Q3
SFL44569,46,160,Black,Grey,Female,TR02 H 3033,BMW,X1
SFL77892,18,166,Brown,Black,Female,ML06 I 4043,Mercedes-Benz,GLA
SFL12121,40,180,Brown,Black,Male,AR02 J 5053,Jaguar,F-Pace
SFL34343,33,177,Black,Black,Male,SK02 K 6063,Volvo,XC40
SFL56565,46,183,Brown,Salt & Pepper,Male,JH02 L 7073,Lexus,NX
SFL78787,25,175,Hazel,Brown,Male,OD03 M 8083,Audi,A6
SFL90909,37,185,Brown,Black,Male,CG05 N 9093,BMW,5 Series
SFL13131,30,173,Green,Blonde,Male,UK08 P 1014,Mercedes-Benz,E-Class
SFL35353,42,182,Blue,Brown,Male,HP18 Q 2024,Jaguar,XF
SFL57575,27,180,Brown,Black,Male,LA02 R 3034,Volvo,S90
SFL79797,49,171,Black,Grey,Male,DN10 S 4044,Lexus,LS
SFL91919,22,184,Brown,Black,Male,DD04 T 5054,Audi,Q5
SFL12122,38,168,Brown,Black,Female,AN02 U 6064,BMW,X3
SFL34344,31,166,Black,Black,Female,LD02 V 7074,Mercedes-Benz,GLC
SFL56566,44,171,Brown,Brown,Female,MP05 W 8084,Jaguar,I-Pace
SFL78788,23,163,Hazel,Red,Female,BR02 X 9094,Volvo,XC60
SFL90900,35,173,Brown,Black,Female,OR03 Y 1015,Lexus,RX
SFL13132,28,169,Green,Blonde,Female,BH02 Z 2025,Audi,Q7
SFL35354,40,165,Blue,Brown,Female,KA18 A 3035,Pontiac,GTO
SFL57576,25,172,Brown,Black,Female,MH03 B 4045,Mercedes-Benz,GLE
SFL79798,47,161,Black,Grey,Female,DL05 C 5055,Volvo,XC90
SFL91910,20,167,Brown,Black,Female,UP17 D 6065,Lexus,LX
SFL24680,39,181,Brown,Black,Male,TN10 E 7075,Porsche,Cayenne
SFL13579,32,178,Black,Black,Male,WB05 F 8085,Land Rover,Range Rover Sport
SFL35791,45,184,Brown,Salt & Pepper,Male,GJ07 G 9095,Maserati,Levante
SFL57913,24,176,Hazel,Brown,Male,RJ19 H 1016,Bentley,Bentayga
SFL79135,35,186,Brown,Black,Male,PB13 I 2026,Lamborghini,Urus
SFL91357,29,174,Green,Blonde,Male,HR30 J 3036,Rolls-Royce,Cullinan
SFL13570,42,183,Blue,Brown,Male,CH04 K 4046,Ferrari,Purosangue
SFL35792,26,181,Brown,Black,Male,AP31 L 5056,Aston Martin,DBX
SFL57914,49,172,Black,Grey,Male,TS12 M 6066,Porsche,Macan
SFL79136,21,185,Brown,Black,Male,KL21 N 7076,Land Rover,Defender
SFL24681,37,169,Brown,Black,Female,PY03 P 8086,Maserati,Grecale
SFL13578,30,167,Black,Black,Female,AS04 Q 9096,Bentley,Continental GT
SFL35793,43,172,Brown,Brown,Female,GA10 R 1017,Lamborghini,Huracan
