person_id,name,dob,address_street_name,address_number,phone_number,license_id,gender,ssn
100101,Aarav Sharma,19850315,Orchid Avenue,12,9876543210,ASL12345,Male,123-456-7890
100102,John Smith,19921122,Maple Street,45,9876543211,ASL67890,Male,234-567-8901
100103,Aditya Singh,19780701,Oak Drive,101,9876543212,ASL11223,Male,345-678-9012
100104,Michael Johnson,20000130,Pine Lane,23,9876543213,ASL44556,Male,456-789-0123
100105,Arjun Kumar,19890518,Cedar Avenue,8,9876543214,ASL77889,Male,567-890-1234
100106,William Brown,19950903,Elm Street,56,9876543215,ASL99001,Male,678-901-2345
100107,David Jones,19820214,Birch Road,210,9876543216,ASL22334,Male,789-012-3456
100108,Richard Garcia,19980625,Willow Way,78,9876543217,ASL55667,Male,890-123-4567
100109,Joseph Miller,19751212,Aspen Court,3,9876543218,ASL88990,Male,901-234-5678
100110,Thomas Davis,20030409,Spruce Place,15,9876543219,ASL11234,Male,012-345-6789
100111,Ananya Sharma,19880817,Orchid Avenue,14,9876543220,ASL56789,Female,123-456-7891
100112,Mary Rodriguez,19940120,Maple Street,47,9876543221,ASL01234,Female,234-567-8902
100113,Saanvi Singh,19811005,Oak Drive,103,9876543222,ASL56780,Female,345-678-9013
100114,Patricia Martinez,20020316,Pine Lane,25,9876543223,ASL12309,Female,456-789-0124
100115,Myra Kumar,19910728,Cedar Avenue,10,9876543224,ASL87654,Female,567-890-1235
100116,Jennifer Hernandez,19971113,Elm Street,58,9876543225,ASL32109,Female,678-901-2346
100117,Linda Lopez,19840424,Birch Road,212,9876543226,ASL87650,Female,789-012-3457
100118,Elizabeth Gonzalez,20000905,Willow Way,80,9876543227,ASL43215,Female,890-123-4568
100119,Barbara Wilson,19770222,Aspen Court,5,9876543228,ASL98765,Female,901-234-5679
100120,Susan Anderson,20050619,Spruce Place,17,9876543229,ASL10987,Female,012-345-6780
100121,James Thomas,19860901,Hickory Lane,33,9876543230,ASL65432,Male,123-456-7880
100122,Robert Taylor,19930312,Chestnut Drive,19,9876543231,ASL10988,Male,234-567-8911
100123,Charles Moore,19801129,Sycamore Street,204,9876543232,ASL76543,Male,345-678-9022
100124,Daniel Jackson,20010815,Magnolia Avenue,67,9876543233,ASL21098,Male,456-789-0133
100125,Matthew Martin,19900207,Poplar Road,88,9876543234,ASL87651,Male,567-890-1244
100126,Anthony Lee,19960421,Redwood Way,121,9876543235,ASL32106,Male,678-901-2355
100127,Mark Perez,19831011,Cypress Court,30,9876543236,ASL87652,Male,789-012-3466
100128,Donald Thompson,19990101,Dogwood Place,99,9876543237,ASL43217,Male,890-123-4577
100129,Steven White,19760707,Juniper Lane,1,9876543238,ASL98763,Male,901-234-5688
100130,Paul Harris,20040505,Fir Drive,42,9876543239,ASL10985,Male,012-345-6799
100131,Jessica Sanchez,19890414,Hickory Lane,35,9876543240,ASL65430,Female,123-456-7881
100132,Sarah Clark,19950823,Chestnut Drive,21,9876543241,ASL10986,Female,234-567-8912
100133,Karen Ramirez,19830110,Sycamore Street,206,9876543242,ASL76541,Female,345-678-9023
100134,Nancy Lewis,20030218,Magnolia Avenue,69,9876543243,ASL21096,Female,456-789-0134
100135,Lisa Robinson,19920630,Poplar Road,90,9876543244,ASL87653,Female,567-890-1245
100136,Betty Walker,19981201,Redwood Way,123,9876543245,ASL32104,Female,678-901-2356
100137,Helen Young,19850515,Cypress Court,32,9876543246,ASL87654,Female,789-012-3467
100138,Sandra Allen,20010303,Dogwood Place,101,9876543247,ASL43219,Female,890-123-4578
100139,Donna King,19781010,Juniper Lane,3,9876543248,ASL98761,Female,901-234-5689
100140,Carol Wright,20060707,Fir Drive,44,9876543249,ASL10983,Female,012-345-6790
100141,Andrew Scott,19870611,Crimson Court,7,9876543250,ASL11122,Male,112-233-4455
100142,Brian Green,19941018,Azure Alley,22,9876543251,ASL33445,Male,223-344-5566
100143,Kevin Baker,19810125,Golden Gate,130,9876543252,ASL66778,Male,334-455-6677
100144,Jason Adams,20021203,Silver Street,245,9876543253,ASL99001,Male,445-566-7788
100145,George Nelson,19910509,Bronze Boulevard,31,9876543254,ASL22334,Male,556-677-8899
100146,Kenneth Hill,19970828,Copper Corner,17,9876543255,ASL55667,Male,667-788-9900
100147,Ronald Carter,19840304,Platinum Place,2,9876543256,ASL88990,Male,778-899-0011
100148,Edward Mitchell,19990716,Emerald Esplanade,89,9876543257,ASL11235,Male,889-900-1122
100149,Timothy Perez,19771111,Ruby Road,199,9876543258,ASL44568,Male,990-011-2233
100150,Jose Roberts,20050202,Sapphire Street,50,9876543259,ASL77891,Male,001-122-3344
100151,Ruth Turner,19901224,Crimson Court,9,9876543260,ASL11123,Female,112-233-4456
100152,Sharon Phillips,19960307,Azure Alley,24,9876543261,ASL33446,Female,223-344-5567
100153,Michelle Campbell,19830613,Golden Gate,132,9876543262,ASL66779,Female,334-455-6678
100154,Laura Parker,20040101,Silver Street,247,9876543263,ASL99002,Female,445-566-7789
100155,Cynthia Evans,19930919,Bronze Boulevard,33,9876543264,ASL22335,Female,556-677-8890
100156,Kimberly Edwards,19990214,Copper Corner,19,9876543265,ASL55668,Female,667-788-9901
